date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:28:12	13133/13133	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2018:19:29%20GMT	https://static.wixstatic.com/media/83c157_1031f6d27adc4d8497af5256ee8e8791~mv2.png/v1/crop/x_3,y_1,w_1912,h_574/fill/w_125,h_38,al_c,usm_0.66_1.00_0.01,blur_2/Black%20textLogo.png	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_1031f6d27adc4d8497af5256ee8e8791_mv2.png/v1/crop/x_3,y_1,w_1912,h_574/fill/w_125,h_38,al_c,usm_0.66_1.00_0.01,blur_2/Black%20textLogo.png	(from https://www.180dcberkeley.com/)
22:28:12	7213/7213	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20May%202021%2018:19:29%20GMT	https://static.wixstatic.com/media/83c157_ef8a9c472da64c388418fd5886819f49~mv2.jpg/v1/fill/w_245,h_118,al_c,q_80,usm_0.66_1.00_0.01,blur_2/83c157_ef8a9c472da64c388418fd5886819f49~mv2.jpg	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_ef8a9c472da64c388418fd5886819f49_mv2.jpg/v1/fill/w_245,h_118,al_c,q_80,usm_0.66_1.00_0.01,blur_2/83c157_ef8a9c472da64c388418fd5886819f49_mv2.jpg	(from https://www.180dcberkeley.com/)
22:28:13	1419/1419	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2018:19:29%20GMT	https://static.wixstatic.com/media/83c157_8c34c67f7b6b465fa3bd1066fa970dda~mv2.png/v1/crop/x_60,y_300,w_2940,h_1430/fill/w_176,h_86,al_c,usm_0.66_1.00_0.01,blur_2/22171_white-to-transparent-gradient-png_.png	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_8c34c67f7b6b465fa3bd1066fa970dda_mv2.png/v1/crop/x_60,y_300,w_2940,h_1430/fill/w_176,h_86,al_c,usm_0.66_1.00_0.01,blur_2/22171_white-to-transparent-gradient-png_.png	(from https://www.180dcberkeley.com/)
22:28:13	641529/641529	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20May%202021%2016:58:10%20GMT	https://www.180dcberkeley.com/ourservices	C:/My%20Web%20Sites/dc180/www.180dcberkeley.com/ourservices.html	(from https://www.180dcberkeley.com/)
22:28:13	1413/1413	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2018:19:29%20GMT	https://static.wixstatic.com/media/83c157_8c34c67f7b6b465fa3bd1066fa970dda~mv2.png/v1/crop/x_0,y_300,w_3000,h_1430/fill/w_180,h_86,al_c,usm_0.66_1.00_0.01,blur_2/22171_white-to-transparent-gradient-png_.png	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_8c34c67f7b6b465fa3bd1066fa970dda_mv2.png/v1/crop/x_0,y_300,w_3000,h_1430/fill/w_180,h_86,al_c,usm_0.66_1.00_0.01,blur_2/22171_white-to-transparent-gradient-png_.png	(from https://www.180dcberkeley.com/)
22:28:13	1014/1014	---M--	200	added ('OK')	image/png	date:Fri,%2007%20May%202021%2016:36:11%20GMT	https://static.wixstatic.com/media/83c157_8c34c67f7b6b465fa3bd1066fa970dda~mv2.png/v1/crop/x_0,y_305,w_1155,h_1425/fill/w_92,h_114,al_c,usm_0.66_1.00_0.01,blur_2/22171_white-to-transparent-gradient-png_.png	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_8c34c67f7b6b465fa3bd1066fa970dda_mv2.png/v1/crop/x_0,y_305,w_1155,h_1425/fill/w_92,h_114,al_c,usm_0.66_1.00_0.01,blur_2/22171_white-to-transparent-gradient-png_.png	(from https://www.180dcberkeley.com/)
22:28:13	11363/11363	---M--	200	added ('OK')	image/jpeg	date:Tue,%2004%20May%202021%2018:19:29%20GMT	https://static.wixstatic.com/media/83c157_ed2da04845c445668902757d8b5e0e89~mv2.jpg/v1/fill/w_194,h_290,al_c,q_80,usm_0.66_1.00_0.01,blur_2/83c157_ed2da04845c445668902757d8b5e0e89~mv2.jpg	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_ed2da04845c445668902757d8b5e0e89_mv2.jpg/v1/fill/w_194,h_290,al_c,q_80,usm_0.66_1.00_0.01,blur_2/83c157_ed2da04845c445668902757d8b5e0e89_mv2.jpg	(from https://www.180dcberkeley.com/)
22:28:14	3160/3160	---M--	200	added ('OK')	image/png	date:Tue,%2004%20May%202021%2018:19:29%20GMT	https://static.wixstatic.com/media/83c157_fdb437cc0777493f9ffe8fb95c367b36~mv2.png/v1/fill/w_119,h_23,al_c,usm_0.66_1.00_0.01,blur_2/Pedro's%20Signature_PNG.png	C:/My%20Web%20Sites/dc180/static.wixstatic.com/media/83c157_fdb437cc0777493f9ffe8fb95c367b36_mv2.png/v1/fill/w_119,h_23,al_c,usm_0.66_1.00_0.01,blur_2/Pedro's%20Signature_PNG.png	(from https://www.180dcberkeley.com/)
22:28:15	6615/6615	---M-Z	200	added ('OK')	application/javascript	etag:W/%22859afc97698908fe2f6481c04fb0c8d8%22	https://static.parastorage.com/services/wix-thunderbolt/dist/hoverBox.269ea0cc.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/hoverBox.269ea0cc.chunk.min.js	(from https://www.180dcberkeley.com/about-us)
22:28:16	658/658	---M-Z	200	added ('OK')	application/javascript	etag:W/%22098701b59e4f8306483e1463f69d4903%22	https://static.parastorage.com/services/wix-thunderbolt/dist/reducedMotion.809eab75.chunk.min.js	C:/My%20Web%20Sites/dc180/static.parastorage.com/services/wix-thunderbolt/dist/reducedMotion.809eab75.chunk.min.js	(from https://www.180dcberkeley.com/about-us)
